"","Target","Molecule","Scaffold"
"266","TSPO","LOSYGZKHRVHDQS-UHFFFAOYSA-N","Sca771"
"267","TSPO","OUFBUUDLBUTFDQ-UHFFFAOYSA-N","Sca47723"
"268","TSPO","XGMAIANLNDEVRJ-UHFFFAOYSA-N","Sca47723"
"269","TSPO","VTCBVFHFJRBIBB-UHFFFAOYSA-N","Sca47723"
"270","TSPO","AZKBPBNCLYXTHL-UHFFFAOYSA-N","Sca6944"
"271","TSPO","ZIMVZKBPYCAUPT-UHFFFAOYSA-N","Sca69453"
"272","TSPO","IUIFYOGCQGXNRF-UHFFFAOYSA-N","Sca6944"
"273","TSPO","UDLUEZOQCAUTNO-UHFFFAOYSA-N","Sca69453"
"274","TSPO","FJDSDSUGKATIEX-UHFFFAOYSA-N","Sca565"
"275","TSPO","SDGKIWUBFJUGKZ-UHFFFAOYSA-N","Sca69453"
"276","TSPO","IEPBDJLCCQHAQX-UHFFFAOYSA-N","Sca771"
"277","TSPO","SSNLRGQIUXAFIT-UHFFFAOYSA-N","Sca47723"
"278","TSPO","ZLLAFKHEBPNRAH-UHFFFAOYSA-N","Sca15427"
"279","TSPO","SIENPKVCBIGHDG-UHFFFAOYSA-N","Sca4237"
"280","TSPO","OJLXUHNMGMOOSB-UHFFFAOYSA-N","Sca771"
"281","TSPO","NWTOHPLZYJPHQI-UHFFFAOYSA-N","Sca771"
"282","TSPO","SNJYUMRFDSCNJR-UHFFFAOYSA-N","Sca69453"
"283","TSPO","WDMAUWGACDRLFF-UHFFFAOYSA-N","Sca6944"
"284","TSPO","XICRODIMJLZTJP-HNNXBMFYSA-N","Sca771"
"285","TSPO","DGJOMAQBWUYHDA-UHFFFAOYSA-N","Sca3086"
"286","TSPO","GLJREWMDZNICFV-UHFFFAOYSA-N","Sca3086"
"287","TSPO","SGOGIXZBMCSNBW-UHFFFAOYSA-N","Sca950"
"288","MGAT2","IIRWXQAVENQCMZ-UHFFFAOYSA-N","Sca28749"
"289","MGAT2","WEMQWCPJHBGZMC-UHFFFAOYSA-N","Sca1147"
"290","JUN","ARMFMDYRYOKSOW-UHFFFAOYSA-N","Sca21062"
"291","JUN","HYNZVOLLNHBFQJ-UHFFFAOYSA-N","Sca21062"
"292","JUN","KBCXTBOXZPZBNM-UHFFFAOYSA-N","Sca15754"
"293","A4","YJAAMQCVFGGTKS-MTOANXPYSA-N","Sca6456"
"294","A4","TUNFCKFZFPSXAU-VBKFSLOCSA-N","Sca6456"
"295","A4","LGPNBDUEKJEVNY-UHFFFAOYSA-N","Sca12375"
"296","A4","FARYBMWDOPWSQD-LGMDPLHJSA-N","Sca6456"
"297","A4","CLTHVXHFUZWNAX-UHFFFAOYSA-N","Sca12375"
"298","A4","DSRMGPWSWGJUFD-ZMVJNSKBSA-N","Sca6456"
"299","THIO","TYGGRMZGJNJNDQ-UHFFFAOYSA-N","Sca7716"
"300","RAD51","RONMYAFEDUQUDG-UHFFFAOYSA-N","Sca15871"
"301","RAD51","FGKRMUDQFGRDIW-UHFFFAOYSA-N","Sca15871"
